borrower_id,loan_amount,loan_date,business_type,business_location,years_in_business,repayment_history,mobile_money_activity_score
PEZ10000,10711.16,2024-02-25,food_vendor,Nairobi,1.9,late,22.2
PEZ10001,4792.61,2023-05-17,hardware_store,Mombasa,4.2,late,
PEZ10002,5281.44,2023-04-21,retail_shop,Garissa,1.6,late,1.8
PEZ10003,14731.16,2021-03-16,tailoring,Nairobi,1.9,late,47.3
PEZ10004,4445.94,2024-07-10,electronics_repair,Mombasa,3.2,on_time,62.8
PEZ10005,6892.88,2024-08-25,retail_shop,Kitale,0.8,on_time,82.9
PEZ10006,130393.63,2021-08-15,mobile_money_agent,Thika,0.6,late,38.4
PEZ10007,19570.16,2020-11-29,food_vendor,Nakuru,1.1,on_time,65.5
PEZ10008,2107.64,2023-06-01,electronics_repair,Thika,0.8,on_time,66.2
PEZ10009,19687.68,2023-08-03,salon_barber,Garissa,2.8,on_time,23.3
PEZ10010,1793.36,2020-03-06,hardware_store,Nakuru,4.9,late,58.9
PEZ10011,3300.38,2021-10-06,electronics_repair,Malindi,0.7,on_time,48.8
PEZ10012,36150.07,2021-05-20,transport,Kitale,7.0,late,29.4
PEZ10013,7624.61,2021-03-25,hardware_store,Garissa,2.5,on_time,64.0
PEZ10014,4748.5,2020-11-23,salon_barber,Garissa,0.6,late,11.1
PEZ10015,5287.66,2023-02-07,agro_dealer,Nyeri,4.7,on_time,21.5
PEZ10016,31947.91,2020-08-16,retail_shop,Mombasa,8.5,on_time,39.7
PEZ10017,5609.26,2022-10-22,tailoring,Malindi,7.3,on_time,
PEZ10018,12745.54,2023-06-01,salon_barber,Garissa,5.6,on_time,2.3
PEZ10019,32989.97,2020-01-02,transport,Kisumu,1.7,on_time,66.9
PEZ10020,8976.34,2024-07-10,mobile_money_agent,Thika,10.3,on_time,84.3
PEZ10021,6253.97,2022-09-22,tailoring,Nakuru,2.6,late,33.1
PEZ10022,3731.87,2021-06-26,food_vendor,Garissa,1.0,on_time,56.4
PEZ10023,32608.42,2021-02-15,hardware_store,Nyeri,4.4,on_time,40.5
PEZ10024,44649.79,2020-09-04,tailoring,Malindi,0.8,on_time,25.9
PEZ10025,2385.41,2020-01-15,transport,Nakuru,0.6,on_time,
PEZ10026,5671.76,2021-05-02,food_vendor,Nairobi,4.0,late,63.9
PEZ10027,102658.45,2022-08-26,tailoring,Kitale,3.7,on_time,37.7
PEZ10028,15027.56,2022-05-17,transport,Kitale,0.8,on_time,10.0
PEZ10029,18909.15,2020-05-04,agro_dealer,Kitale,0.8,on_time,65.7
PEZ10030,16890.41,2020-10-14,agro_dealer,Thika,0.8,on_time,78.0
PEZ10031,28807.46,2024-10-30,agro_dealer,Kisumu,1.3,on_time,19.9
PEZ10032,19509.83,2024-03-23,hardware_store,Mombasa,3.7,on_time,29.5
PEZ10033,8899.63,2020-12-03,transport,Kisumu,3.5,on_time,14.3
PEZ10034,7157.15,2022-05-16,agro_dealer,Nairobi,1.2,on_time,17.8
PEZ10035,17624.58,2023-01-15,hardware_store,Kitale,10.7,on_time,71.0
PEZ10036,15215.58,2020-11-18,retail_shop,Thika,6.2,on_time,40.3
PEZ10037,8530.14,2021-04-26,retail_shop,Garissa,0.8,on_time,59.9
PEZ10038,10986.79,2020-06-16,agro_dealer,Mombasa,4.1,defaulted,14.6
PEZ10039,8162.5,2021-10-05,agro_dealer,Nyeri,7.8,on_time,32.0
PEZ10040,9556.94,2024-03-19,transport,Eldoret,4.1,on_time,51.0
PEZ10041,11583.12,2021-03-12,food_vendor,Nairobi,0.6,late,75.2
PEZ10042,14038.75,2021-08-06,hardware_store,Eldoret,0.6,late,37.4
PEZ10043,51195.85,2023-09-01,salon_barber,Kitale,0.8,on_time,6.7
PEZ10044,5195.26,2024-12-03,hardware_store,Nairobi,4.4,late,42.2
PEZ10045,42672.15,2023-05-23,salon_barber,Eldoret,0.7,late,26.4
PEZ10046,11817.02,2024-09-28,transport,Thika,1.0,on_time,86.4
PEZ10047,2253.14,2020-09-24,retail_shop,Mombasa,3.3,on_time,84.5
PEZ10048,2219.55,2020-06-03,tailoring,Kisumu,0.5,defaulted,20.2
PEZ10049,30432.42,2020-03-26,salon_barber,Garissa,,on_time,25.2
PEZ10050,6617.96,2021-03-06,tailoring,Thika,1.9,on_time,20.2
PEZ10051,29159.64,2024-03-14,transport,Mombasa,3.1,on_time,88.8
PEZ10052,4981.9,2020-02-20,salon_barber,Nakuru,2.3,on_time,60.7
PEZ10053,5678.89,2021-05-23,salon_barber,Thika,1.7,on_time,66.4
PEZ10054,14069.11,2021-03-31,tailoring,Kisumu,3.5,on_time,46.2
PEZ10055,2390.91,2023-09-13,transport,Kitale,5.4,late,77.7
PEZ10056,8202.11,2023-08-06,transport,Malindi,1.8,on_time,79.8
PEZ10057,19033.86,2024-12-01,hardware_store,Malindi,5.8,defaulted,69.8
PEZ10058,54847.82,2021-12-08,tailoring,Kisumu,7.6,on_time,57.4
PEZ10059,2448.77,2021-06-05,electronics_repair,Malindi,2.3,on_time,47.9
PEZ10060,5948.58,2024-02-28,retail_shop,Malindi,,on_time,35.7
PEZ10061,31504.35,2023-09-20,transport,Thika,0.9,on_time,53.1
PEZ10062,25702.78,2023-02-09,food_vendor,Eldoret,0.8,on_time,37.5
PEZ10063,31574.7,2023-06-14,salon_barber,Nakuru,9.3,on_time,54.2
PEZ10064,8066.2,2024-05-28,mobile_money_agent,Eldoret,5.0,late,78.0
PEZ10065,1909.11,2022-08-27,mobile_money_agent,Nyeri,0.7,late,57.6
PEZ10066,21666.1,2024-03-18,salon_barber,Mombasa,6.6,late,31.2
PEZ10067,5260.9,2022-08-31,,Eldoret,0.7,late,57.5
PEZ10068,21510.77,2022-02-25,mobile_money_agent,Mombasa,3.5,on_time,78.0
PEZ10069,1196.66,2024-04-26,,Malindi,1.5,on_time,76.3
PEZ10070,35477.67,2023-02-15,food_vendor,Malindi,5.5,on_time,43.6
PEZ10071,10888.66,2023-05-04,transport,Mombasa,8.6,on_time,54.2
PEZ10072,10707.75,2023-01-27,electronics_repair,Kitale,1.9,on_time,23.0
PEZ10073,36909.83,2023-07-29,pharmacy,Kisumu,2.1,late,48.9
PEZ10074,1637.42,2021-04-25,tailoring,Garissa,9.2,on_time,61.9
PEZ10075,3540.8,2023-11-22,tailoring,Thika,9.7,late,15.5
PEZ10076,38225.68,2021-02-27,salon_barber,Nakuru,3.8,on_time,41.8
PEZ10077,35919.84,2024-04-16,agro_dealer,Malindi,2.9,on_time,64.1
PEZ10078,34349.36,2024-12-31,mobile_money_agent,Malindi,1.2,on_time,91.6
PEZ10079,21623.75,2021-03-25,agro_dealer,Garissa,7.5,late,93.2
PEZ10080,17969.04,2024-01-23,tailoring,Malindi,9.5,on_time,56.4
PEZ10081,7165.9,2023-04-27,salon_barber,Kitale,2.3,on_time,42.5
PEZ10082,13196.06,2021-06-16,mobile_money_agent,Nairobi,0.9,late,72.0
PEZ10083,3584.95,2024-03-20,agro_dealer,Thika,7.3,on_time,82.3
PEZ10084,6690.66,2021-12-17,agro_dealer,Eldoret,0.8,late,71.5
PEZ10085,18984.05,2021-02-12,transport,Mombasa,2.6,on_time,47.2
PEZ10086,2373.08,2021-03-22,retail_shop,Nyeri,4.6,on_time,48.3
PEZ10087,18984.95,2020-08-22,pharmacy,Eldoret,3.4,on_time,87.8
PEZ10088,8773.42,2022-02-07,salon_barber,Eldoret,7.3,on_time,
PEZ10089,2803.82,2024-05-01,agro_dealer,Nakuru,2.8,late,52.3
PEZ10090,20142.03,2022-12-27,tailoring,Nyeri,1.7,defaulted,32.7
PEZ10091,5216.05,2022-09-30,,Thika,5.2,on_time,31.8
PEZ10092,2187.14,2022-06-10,food_vendor,Malindi,0.9,on_time,52.6
PEZ10093,5125.02,2022-09-17,salon_barber,Garissa,1.8,on_time,48.1
PEZ10094,4697.71,2020-06-26,pharmacy,Malindi,1.0,late,54.8
PEZ10095,7443.46,2020-02-28,tailoring,Kitale,0.8,on_time,55.0
PEZ10096,62524.92,2024-12-07,pharmacy,Thika,5.6,late,45.6
PEZ10097,2974.86,2022-04-12,mobile_money_agent,Eldoret,1.5,late,82.1
PEZ10098,2593.75,2024-06-11,pharmacy,Garissa,2.6,on_time,46.7
PEZ10099,5391.29,2022-01-25,retail_shop,Mombasa,2.5,on_time,57.9
PEZ10100,3931.05,2023-12-10,pharmacy,Garissa,0.7,late,26.0
PEZ10101,8860.81,2024-03-01,pharmacy,Eldoret,2.1,on_time,79.2
PEZ10102,4471.52,2024-04-05,hardware_store,Kisumu,0.7,on_time,33.8
PEZ10103,22809.24,2021-01-02,hardware_store,Nyeri,1.0,late,50.8
PEZ10104,4119.91,2021-08-21,tailoring,Nairobi,1.8,defaulted,29.5
PEZ10105,8234.22,2021-11-28,salon_barber,Kitale,1.6,on_time,
PEZ10106,9558.58,2022-10-04,salon_barber,Nairobi,2.0,late,63.4
PEZ10107,28207.05,2021-09-14,food_vendor,Nyeri,1.7,on_time,51.0
PEZ10108,36672.09,2021-04-07,food_vendor,Nakuru,7.2,on_time,33.2
PEZ10109,5194.54,2021-09-17,hardware_store,Malindi,6.8,on_time,36.3
PEZ10110,1584.12,2023-07-05,mobile_money_agent,Nyeri,1.3,on_time,49.8
PEZ10111,18686.66,2020-01-06,transport,Eldoret,1.8,late,52.0
PEZ10112,48154.2,2021-08-02,agro_dealer,Kitale,2.4,late,19.4
PEZ10113,2592.16,2023-09-16,pharmacy,Mombasa,8.2,on_time,55.9
PEZ10114,102610.04,2020-10-18,transport,Malindi,2.2,late,51.6
PEZ10115,4524.22,2021-08-14,food_vendor,Nairobi,2.0,on_time,41.3
PEZ10116,28857.51,2023-01-10,pharmacy,Mombasa,1.7,on_time,96.6
PEZ10117,6981.11,2021-05-27,pharmacy,Kitale,2.3,late,
PEZ10118,2930.15,2020-02-12,retail_shop,Mombasa,2.6,on_time,66.6
PEZ10119,6873.74,2021-07-23,tailoring,Nyeri,,on_time,74.4
PEZ10120,7223.94,2022-04-16,salon_barber,Nyeri,2.6,on_time,33.4
PEZ10121,2678.19,2021-08-13,electronics_repair,Thika,1.1,on_time,19.6
PEZ10122,2496.07,2024-05-01,agro_dealer,Garissa,,late,98.8
PEZ10123,13735.85,2020-04-21,agro_dealer,Garissa,1.1,on_time,
PEZ10124,7411.43,2021-02-20,transport,Garissa,3.6,on_time,44.0
PEZ10125,7112.83,2020-02-29,tailoring,Garissa,1.3,on_time,48.7
PEZ10126,10246.1,2021-04-05,,Nakuru,3.7,on_time,47.5
PEZ10127,3173.67,2021-08-20,food_vendor,Kitale,2.0,on_time,67.9
PEZ10128,2341.39,2020-10-23,hardware_store,Eldoret,0.5,on_time,5.6
PEZ10129,1972.34,2021-07-19,agro_dealer,Nakuru,1.9,on_time,22.4
PEZ10130,7856.07,2021-09-03,agro_dealer,Thika,2.9,late,24.5
PEZ10131,2234.01,2021-12-07,mobile_money_agent,Nyeri,2.2,on_time,70.0
PEZ10132,14070.89,2023-11-29,electronics_repair,Garissa,1.5,on_time,84.8
PEZ10133,40967.46,2022-08-26,transport,Nyeri,3.7,late,31.6
PEZ10134,18153.04,2020-03-16,agro_dealer,Malindi,3.8,late,75.9
PEZ10135,1765.14,2020-07-23,salon_barber,Garissa,2.7,on_time,39.4
PEZ10136,1403.08,2020-06-02,hardware_store,Kitale,,on_time,24.8
PEZ10137,14876.93,2024-10-11,pharmacy,Eldoret,3.8,on_time,48.4
PEZ10138,21744.63,2023-01-13,hardware_store,Malindi,0.7,on_time,55.6
